time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-05T02:30:02.445Z,14.9164,-44.9767,10,5,mb,64,44,12.322,0.64,us,us7000ma0r,2024-04-05T02:49:51.040Z,"northern Mid-Atlantic Ridge",earthquake,10.29,1.859,0.039,206,reviewed,us,us
2024-04-04T23:46:41.269Z,7.9214,-38.1466,10,5.1,mb,54,59,19.143,0.66,us,us7000m9zx,2024-04-05T00:08:57.040Z,"central Mid-Atlantic Ridge",earthquake,3.89,1.859,0.043,176,reviewed,us,us
2024-04-04T23:43:54.440Z,7.8883,-38.1232,10,5,mb,44,103,13.803,0.78,us,us7000m9zu,2024-04-05T00:05:58.040Z,"central Mid-Atlantic Ridge",earthquake,12.06,1.884,0.06,87,reviewed,us,us
2024-04-04T23:37:29.864Z,7.9378,-38.1518,10,5.2,mww,66,63,13.856,0.97,us,us7000m9zr,2024-04-05T00:01:38.040Z,"central Mid-Atlantic Ridge",earthquake,9.14,1.809,0.098,10,reviewed,us,us
2024-04-04T23:18:24.751Z,8.0644,-38.2188,10,5,mb,23,148,23.776,0.54,us,us7000m9zn,2024-04-04T23:48:43.040Z,"central Mid-Atlantic Ridge",earthquake,14.12,1.942,0.081,48,reviewed,us,us
2024-04-04T23:16:56.700Z,7.9724,-38.0892,10,5,mb,32,114,19.215,0.85,us,us7000m9zm,2024-04-04T23:43:01.040Z,"central Mid-Atlantic Ridge",earthquake,14.59,1.893,0.074,58,reviewed,us,us
2024-04-04T20:31:49.135Z,41.9425,142.4691,62.988,5,mww,91,95,0.518,0.71,us,us7000m9z0,2024-04-05T00:31:45.844Z,"35 km SW of Urakawa, Japan",earthquake,5,5.009,0.089,12,reviewed,us,us
2024-04-04T16:04:31.201Z,33.1567,76.8274,21.335,5.2,mww,61,62,7.499,0.82,us,us7000m9w5,2024-04-05T02:25:15.921Z,"34 km S of Padam, India",earthquake,5.71,5.483,0.093,11,reviewed,us,us
2024-04-04T14:20:27.773Z,36.1683,-33.9707,10,5,mb,46,88,22.845,0.7,us,us7000m9vm,2024-04-04T14:39:53.040Z,"Azores Islands region",earthquake,5.44,1.83,0.046,152,reviewed,us,us
2024-04-04T07:38:05.254Z,12.8883,-88.8859,56.143,5.1,mww,137,119,0.796,0.81,us,us7000m9u3,2024-04-04T11:41:36.532Z,"56 km SW of Puerto El Triunfo, El Salvador",earthquake,6.51,5.155,0.055,32,reviewed,us,us
2024-04-04T03:16:31.452Z,37.7196,141.924,40.061,6.1,mww,105,62,3.137,0.9,us,us7000m9sq,2024-04-05T03:23:49.989Z,"83 km E of Minami-Sōma, Japan",earthquake,7.58,5.054,0.046,45,reviewed,us,us
2024-04-04T00:39:38.112Z,38.4951,90.9583,10,5.3,mb,48,72,9.933,0.84,us,us7000m9rx,2024-04-04T00:50:13.040Z,"197 km ESE of Bingtuan Sanshiliu Tuan, China",earthquake,9.14,1.92,0.087,45,reviewed,us,us
2024-04-04T00:28:15.226Z,-24.4482,-69.54,79.972,5.1,mb,65,105,0.713,1.16,us,us7000m9rr,2024-04-04T00:49:15.025Z,"123 km SE of Antofagasta, Chile",earthquake,5.02,5.412,0.028,404,reviewed,us,us
2024-04-04T00:19:51.385Z,-32.9961,-178.2496,10,5.1,mb,25,82,3.733,1.13,us,us7000m9rq,2024-04-04T01:07:48.040Z,"south of the Kermadec Islands",earthquake,11.55,1.851,0.138,17,reviewed,us,us
2024-04-03T13:51:56.639Z,-36.9623,-72.8961,36.072,5.2,mww,121,38,0.319,1.47,us,us7000m9lk,2024-04-04T03:34:40.103Z,"12 km ESE of Chiguayante, Chile",earthquake,4.49,5.506,0.086,13,reviewed,us,us
2024-04-03T07:52:38.170Z,-14.3213,167.2623,212.62,5.1,mb,78,49,6.814,0.78,us,us7000m9k6,2024-04-03T08:08:21.040Z,"58 km SSW of Sola, Vanuatu",earthquake,10.22,7.235,0.081,49,reviewed,us,us
2024-04-03T06:33:57.205Z,24.1165,121.9003,7.969,5,mb,56,65,0.729,0.86,us,us7000m9jv,2024-04-03T20:06:02.040Z,"33 km ENE of Hualien City, Taiwan",earthquake,5.67,4.799,0.061,85,reviewed,us,us
2024-04-03T04:51:22.042Z,8.509,126.707,54.502,5.1,mb,56,113,1.815,0.74,us,us7000m9j3,2024-04-03T05:11:39.040Z,"43 km ENE of Hinatuan, Philippines",earthquake,7.44,7.132,0.048,140,reviewed,us,us
2024-04-03T03:35:20.278Z,24.18,121.8808,6.606,5.1,mb,51,57,0.67,0.92,us,us7000m9if,2024-04-03T20:22:28.040Z,"35 km NE of Hualien City, Taiwan",earthquake,1.48,4.254,0.049,133,reviewed,us,us
2024-04-03T03:32:23.816Z,-10.3683,-75.4807,9.55,5,mb,40,100,2.091,0.79,us,us7000m9ie,2024-04-03T04:41:40.786Z,"24 km NNW of Oxapampa, Peru",earthquake,8.23,4.596,0.039,207,reviewed,us,us
2024-04-03T03:01:08.026Z,-31.8552,77.4472,10,5,mb,36,55,5.928,0.58,us,us7000m9ia,2024-04-03T03:18:49.040Z,"Mid-Indian Ridge",earthquake,12.06,1.865,0.084,45,reviewed,us,us
2024-04-03T02:28:17.438Z,24.2125,121.7965,10.199,5.2,mb,55,64,0.595,0.98,us,us7000m9ht,2024-04-03T20:26:46.040Z,"32 km NE of Hualien City, Taiwan",earthquake,2.94,4.362,0.04,204,reviewed,us,us
