time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-05T02:47:14.098Z,56.5765,-156.4732,76.3,2.5,ml,,,,0.3,ak,ak0244et2acx,2024-04-05T02:54:47.040Z,"118 km SSE of Ugashik, Alaska",earthquake,,1.7,,,automatic,ak,ak
2024-04-05T02:30:02.445Z,14.9164,-44.9767,10,5,mb,64,44,12.322,0.64,us,us7000ma0r,2024-04-05T02:49:51.040Z,"northern Mid-Atlantic Ridge",earthquake,10.29,1.859,0.039,206,reviewed,us,us
2024-04-05T02:03:33.930Z,40.0411682,-121.2903366,-0.67,2.88,md,36,52,0.3701,0.27,nc,nc74029566,2024-04-05T03:05:56.541Z,"5 km NW of Belden, CA",earthquake,0.37,3.58,0.16,29,automatic,nc,nc
2024-04-05T01:44:14.335Z,14.8894,-44.9783,10,4.9,mb,42,66,12.3,0.56,us,us7000ma0h,2024-04-05T02:06:46.040Z,"northern Mid-Atlantic Ridge",earthquake,11.2,1.879,0.048,134,reviewed,us,us
2024-04-05T01:34:49.717Z,40.0275,-121.314,10,4.3,mb,33,38,0.459,0.57,us,us7000ma0c,2024-04-05T03:39:29.997Z,"6 km WNW of Belden, California",earthquake,1.45,2.007,0.087,37,reviewed,us,us
2024-04-05T01:34:24.990Z,40.0366669,-121.3141632,-1.05,4.46,mw,125,22,0.3699,0.5,nc,nc74029551,2024-04-05T03:38:43.314Z,"6 km WNW of Belden, CA",earthquake,0.39,1.8,,4,reviewed,nc,nc
2024-04-05T00:33:22.861Z,58.633,-153.6316,74.6,2.5,ml,,,,0.28,ak,ak0244ersfsu,2024-04-05T00:34:44.218Z,"76 km NW of Aleneva, Alaska",earthquake,,1.6,,,automatic,ak,ak
2024-04-05T00:31:18.190Z,17.9551666666667,-66.9591666666667,6.69,3.06,md,7,314,0.347,0.11,pr,pr71444628,2024-04-05T01:03:47.704Z,"5 km WSW of Guánica, Puerto Rico",earthquake,1.82,2.62,0.0997852373192278,4,reviewed,pr,pr
2024-04-05T00:27:07.040Z,19.8876,-64.4555,63,3.66,md,11,290,1.4815,0.18,pr,pr2024096000,2024-04-05T00:55:30.560Z,"175 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,2.9,14.6,0.13,4,reviewed,pr,pr
2024-04-04T23:46:41.269Z,7.9214,-38.1466,10,5.1,mb,54,59,19.143,0.66,us,us7000m9zx,2024-04-05T00:08:57.040Z,"central Mid-Atlantic Ridge",earthquake,3.89,1.859,0.043,176,reviewed,us,us
2024-04-04T23:43:54.440Z,7.8883,-38.1232,10,5,mb,44,103,13.803,0.78,us,us7000m9zu,2024-04-05T00:05:58.040Z,"central Mid-Atlantic Ridge",earthquake,12.06,1.884,0.06,87,reviewed,us,us
2024-04-04T23:37:29.864Z,7.9378,-38.1518,10,5.2,mww,66,63,13.856,0.97,us,us7000m9zr,2024-04-05T00:01:38.040Z,"central Mid-Atlantic Ridge",earthquake,9.14,1.809,0.098,10,reviewed,us,us
